序号,名称,年份,国家,类型,导演,评价人数,评分
1,肖申克的救赎,1994,美国,犯罪 剧情, 弗兰克·德拉邦特 Frank Darabont,1238738,9.6
2,霸王别姬,1993,中国大陆 香港,剧情 爱情 同性, 陈凯歌 Kaige Chen,912426,9.6
3,这个杀手不太冷,1994,法国,剧情 动作 犯罪, 吕克·贝松 Luc Besson,1138583,9.4
4,阿甘正传,1994,美国,剧情 爱情, Robert Zemeckis,976661,9.4
5,美丽人生,1997,意大利,剧情 喜剧 爱情 战争, 罗伯托·贝尼尼 Roberto Benigni,570741,9.5
6,泰坦尼克号,1997,美国,剧情 爱情 灾难, 詹姆斯·卡梅隆 James Cameron,912302,9.3
7,千与千寻,2001,日本,剧情 动画 奇幻, 宫崎骏 Hayao Miyazaki,906678,9.3
8,辛德勒的名单,1993,美国,剧情 历史 战争, 史蒂文·斯皮尔伯格 Steven Spielberg,512561,9.5
9,盗梦空间,2010,美国 英国,剧情 科幻 悬疑 冒险, 克里斯托弗·诺兰 Christopher Nolan,992234,9.3
10,机器人总动员,2008,美国,爱情 科幻 动画 冒险, 安德鲁·斯坦顿 Andrew Stanton,658462,9.3
11,忠犬八公的故事,2009,美国 英国,剧情, 莱塞·霍尔斯道姆 Lasse Hallström,644334,9.3
12,三傻大闹宝莱坞,2009,印度,剧情 喜剧 爱情 歌舞, 拉库马·希拉尼 Rajkumar Hirani,887541,9.2
13,海上钢琴师,1998,意大利,剧情 音乐, 朱塞佩·托纳多雷 Giuseppe Tornatore,740649,9.2
14,放牛班的春天,2004,法国 瑞士 德国,剧情 音乐, 克里斯托夫·巴拉蒂 Christophe Barratier,611302,9.2
