序号,名称,年份,国家,类型,导演,评价人数,评分
70,拯救大兵瑞恩,1998,美国,剧情 历史 战争, 史蒂文·斯皮尔伯格 Steven Spielberg,308472,8.9
71,天使爱美丽,2001,法国 德国,喜剧 爱情, 让-皮埃尔·热内 Jean-Pierre Jeunet,580334,8.7
72,音乐之声,1965,美国,剧情 传记 爱情 歌舞, Robert Wise,286584,8.9
73,低俗小说,1994,美国,剧情 喜剧 犯罪, 昆汀·塔伦蒂诺 Quentin Tarantino,419560,8.8
74,大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆),中国大陆,动画 奇幻, 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang,141634,9.3
75,勇敢的心,1995,美国,动作 传记 剧情 历史 战争, 梅尔·吉布森 Mel Gibson,347906,8.8
76,剪刀手爱德华,1990,美国,剧情 奇幻 爱情, Tim Burton,591042,8.7
77,哈利·波特与魔法石,2001,美国 英国,奇幻 冒险, Chris Columbus,364175,8.8
78,沉默的羔羊,1991,美国,剧情 犯罪 惊悚, 乔纳森·戴米 Jonathan Demme,427671,8.8
79,蝴蝶效应,2004,美国 加拿大,剧情 悬疑 科幻 惊悚, 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,470816,8.7
80,春光乍泄,1997,香港 日本 韩国,剧情 爱情 同性, 王家卫 Kar Wai Wong,310045,8.9
81,心灵捕手,1997,美国,剧情, 格斯·范·桑特 Gus Van Sant,341686,8.8
82,入殓师,2008,日本,剧情, 泷田洋二郎 Yôjirô Takita,366521,8.8
83,猫鼠游戏,2002,美国 加拿大,传记 犯罪 剧情, 史蒂文·斯皮尔伯格 Steven Spielberg,311150,8.8
84,布达佩斯大饭店,2014,美国 德国 英国,剧情 喜剧 冒险, 韦斯·安德森 Wes Anderson,412171,8.8
85,禁闭岛,2010,美国,剧情 悬疑 惊悚, Martin Scorsese,452925,8.7
86,玛丽和马克思,2009,澳大利亚,剧情 动画, 亚当·艾略特 Adam Elliot,265231,8.9
87,阳光灿烂的日子,1994,中国大陆 香港,剧情, 姜文 Wen Jiang,333981,8.8
88,幽灵公主,1997,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki,287738,8.8
89,第六感,1999,美国,剧情 悬疑 惊悚, M·奈特·沙马兰 M. Night Shyamalan,285974,8.8
90,狩猎,2012,丹麦 瑞典,剧情, 托马斯·温特伯格 Thomas Vinterberg,169017,9.1
91,重庆森林,1994,香港,剧情 爱情, 王家卫 Kar Wai Wong,407244,8.7
92,穿条纹睡衣的男孩,2008,英国 美国,剧情 战争, 马克·赫门 Mark Herman,199856,9.0
93,致命ID,2003,美国,剧情 悬疑 惊悚, James Mangold,394061,8.7
94,断背山,2005,美国 加拿大,剧情 爱情 同性 家庭, 李安 Ang Lee,391075,8.7
95,加勒比海盗,2003,美国,动作 冒险 奇幻, 戈尔·维宾斯基 Gore Verbinski,436015,8.6
96,阿凡达,2009,美国 英国,动作 战争 科幻 冒险, 詹姆斯·卡梅隆 James Cameron,652941,8.6
97,摩登时代,1936,美国,喜剧 剧情 爱情, 查理·卓别林 Charles Chaplin,118666,9.2
98,大鱼,2003,美国,剧情 家庭 奇幻 冒险, 蒂姆·波顿 Tim Burton,304875,8.7
99,告白,2010,日本,剧情 惊悚, 中岛哲也 Tetsuya Nakashima,412905,8.7
100,寻梦环游记,2017,美国,喜剧 动画 奇幻 音乐, 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,618548,9.0
101,一一,2000,台湾 日本,剧情 爱情 家庭, 杨德昌 Edward Yang,186204,9.0
102,射雕英雄传之东成西就,1993,香港,喜剧 古装, 刘镇伟 Jeffrey Lau,332777,8.7
103,甜蜜蜜,1996,香港,剧情 爱情, 陈可辛 Peter Chan,273023,8.8
104,阳光姐妹淘,2011,韩国,剧情 喜剧, 姜炯哲 Hyeong-Cheol Kang,327883,8.8
105,消失的爱人,2014,美国,剧情 犯罪 悬疑 惊悚, 大卫·芬奇 David Fincher,445518,8.7
106,爱在黎明破晓前,1995,美国 奥地利 瑞士,剧情 爱情, 理查德·林克莱特 Richard Linklater,273446,8.7
107,上帝之城,2002,巴西 法国,犯罪 剧情, Kátia Lund / Fernando Meirelles,181096,8.9
108,喜剧之王,1999,香港,喜剧 剧情 爱情, 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,405732,8.6
109,小森林 夏秋篇,2014,日本,剧情, 森淳一 Junichi Mori,180296,8.9
110,侧耳倾听,1995,日本,剧情 爱情 动画, 近藤喜文 Yoshifumi Kondo,213570,8.8
111,风之谷,1984,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki,213160,8.8
112,恐怖直播,2013,韩国,剧情 犯罪 悬疑, 金秉祐 Byeong-woo Kim,290291,8.7
113,倩女幽魂,1987,香港,剧情 爱情 武侠 古装, 程小东 Siu-Tung Ching,329326,8.7
114,超脱,2011,美国,剧情, 托尼·凯耶 Tony Kaye,218150,8.8
115,红辣椒,2006,日本,动画 悬疑 科幻 惊悚, 今敏 Satoshi Kon,171974,8.9
116,爱在日落黄昏时,2004,美国,剧情 爱情, 理查德·林克莱特 Richard Linklater,241322,8.8
117,菊次郎的夏天,1999,日本,剧情 喜剧, 北野武 Takeshi Kitano,233646,8.8
118,驯龙高手,2010,美国,喜剧 动画 奇幻 冒险, 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,353605,8.7
119,幸福终点站,2004,美国,喜剧 剧情 爱情, 史蒂文·斯皮尔伯格 Steven Spielberg,269663,8.7
120,神偷奶爸,2010,美国 法国,喜剧 动画 冒险, 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,477170,8.5
121,借东西的小人阿莉埃蒂,2010,日本,动画 奇幻 冒险, 米林宏昌 Hiromasa Yonebayashi,263653,8.7
122,杀人回忆,2003,韩国,犯罪 剧情 悬疑 惊悚, 奉俊昊 Joon-ho Bong,254838,8.7
123,请以你的名字呼唤我,2017,意大利 法国 巴西 美国,剧情 爱情 同性, 卢卡·圭达尼诺 Luca Guadagnino,246118,8.8
124,哈利·波特与死亡圣器(下),2011,美国 英国,剧情 悬疑 奇幻 冒险, 大卫·叶茨 David Yates,342015,8.7
125,七武士,1954,日本,动作 冒险 剧情, 黑泽明 Akira Kurosawa,95111,9.2
126,岁月神偷,2010,香港 中国大陆,剧情 家庭, 罗启锐 Alex Law,354658,8.6
127,小森林 冬春篇,2015,日本,剧情, 森淳一 Junichi Mori,156351,9.0
128,怪兽电力公司,2001,美国,儿童 喜剧 动画 奇幻 冒险, 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,303837,8.6
129,萤火虫之墓,1988,日本,动画 剧情 战争, 高畑勋 Isao Takahata,240736,8.7
130,谍影重重3,2007,美国 德国,动作 悬疑 惊悚, 保罗·格林格拉斯 Paul Greengrass,219693,8.7
131,电锯惊魂,2004,美国,悬疑 惊悚 恐怖, 詹姆斯·温 James Wan,239683,8.7
132,7号房的礼物,2013,韩国,剧情 喜剧 家庭, 李焕庆 Hwan-kyeong Lee,223675,8.7
133,东邪西毒,1994,香港 台湾,剧情 动作 爱情 武侠 古装, 王家卫 Kar Wai Wong,308974,8.6
134,喜宴,1993,台湾 美国,剧情 喜剧 爱情 同性 家庭, 李安 Ang Lee,169339,8.8
135,疯狂原始人,2013,美国,喜剧 动画 冒险, 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,444501,8.7
136,贫民窟的百万富翁,2008,英国 美国,剧情 爱情, 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,450693,8.5
137,萤火之森,2011,日本,剧情 爱情 动画 奇幻, 大森贵弘 Takahiro Omori,206435,8.8
138,记忆碎片,2000,美国,犯罪 剧情 悬疑 惊悚, 克里斯托弗·诺兰 Christopher Nolan,330483,8.6
139,黑天鹅,2010,美国,剧情 惊悚, 达伦·阿罗诺夫斯基 Darren Aronofsky,488300,8.5
140,真爱至上,2003,英国 美国 法国,喜剧 剧情 爱情, 理查德·柯蒂斯 Richard Curtis,365727,8.5
141,超能陆战队,2014,美国,喜剧 动作 科幻 动画 冒险, 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,464888,8.6
142,英雄本色,1986,香港,动作 犯罪, 吴宇森 John Woo,221921,8.6
143,唐伯虎点秋香,1993,香港,喜剧 爱情 古装, 李力持 Lik-Chi Lee,433636,8.5
144,蝙蝠侠：黑暗骑士崛起,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚, 克里斯托弗·诺兰 Christopher Nolan,353669,8.6
145,雨人,1988,美国,剧情, 巴瑞·莱文森 Barry Levinson,239274,8.7
146,心迷宫,2014,中国大陆,剧情 犯罪 悬疑, 忻钰坤 Yukun Xin,229856,8.7
147,卢旺达饭店,2004,英国 南非 意大利 美国,剧情 历史 战争, 特瑞·乔治 Terry George,143658,8.9
148,傲慢与偏见,2005,法国 英国 美国,剧情 爱情, 乔·怀特 Joe Wright,366877,8.5
149,荒蛮故事,2014,阿根廷 西班牙,剧情 喜剧 犯罪, 达米安·斯兹弗隆 Damián Szifron,184282,8.8
150,海洋,2009,法国 瑞士 西班牙 美国 阿联酋,纪录片, 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,108262,9.0
151,纵横四海,1991,香港,剧情 喜剧 动作 犯罪, 吴宇森 John Woo,186999,8.7
152,无人知晓,2004,日本,剧情, 是枝裕和 Hirokazu Koreeda,96770,9.1
153,时空恋旅人,2013,英国,剧情 爱情 奇幻, 理查德·柯蒂斯 Richard Curtis,252431,8.7
154,海边的曼彻斯特,2016,美国,剧情 家庭, 肯尼斯·罗纳根 Kenneth Lonergan,251859,8.6
155,教父3,1990,美国,剧情 犯罪, 弗朗西斯·福特·科波拉 Francis Ford Coppola,160569,8.8
156,玩具总动员3,2010,美国,喜剧 动画 奇幻 冒险, 李·昂克里奇 Lee Unkrich,229866,8.8
157,完美的世界,1993,美国,剧情 犯罪, 克林特·伊斯特伍德 Clint Eastwood,100734,9.0
158,花样年华,2000,香港,剧情 爱情, 王家卫 Kar Wai Wong,293993,8.6
159,虎口脱险,1966,法国 英国,喜剧 战争, 杰拉尔·乌里 Gérard Oury,124215,8.9
160,血战钢锯岭,2016,美国 澳大利亚,剧情 传记 历史 战争, 梅尔·吉布森 Mel Gibson,396155,8.7
161,达拉斯买家俱乐部,2013,美国,剧情 传记 同性, 让-马克·瓦雷 Jean-Marc Vallée,227131,8.7
162,恋恋笔记本,2004,美国,剧情 爱情, 尼克·卡索维茨 Nick Cassavetes,337371,8.5
163,燃情岁月,1994,美国,剧情 爱情 西部 家庭, 爱德华·兹威克 Edward Zwick,167568,8.7
164,二十二,2015,中国大陆,纪录片, 郭柯 Ke Guo,136257,8.7
165,雨中曲,1952,美国,喜剧 歌舞 爱情, Stanley Donen / Gene Kelly,108479,9.0
166,冰川时代,2002,美国,喜剧 动画 冒险, 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,326741,8.5
167,魂断蓝桥,1940,美国,剧情 战争 爱情, Mervyn LeRoy,148470,8.8
168,我是山姆,2001,美国,剧情 家庭, 杰茜·尼尔森 Jessie Nelson,127797,8.8
169,穿越时空的少女,2006,日本,剧情 爱情 科幻 动画, 细田守 Mamoru Hosoda,216972,8.6
170,猜火车,1996,英国,犯罪 剧情, 丹尼·博伊尔 Danny Boyle,281303,8.5
171,人工智能,2001,美国,冒险 剧情 科幻, 史蒂文·斯皮尔伯格 Steven Spielberg,225579,8.6
172,头脑特工队,2015,美国,喜剧 动画 冒险, 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,284934,8.7
173,被解救的姜戈,2012,美国,剧情 动作 西部 冒险, 昆汀·塔伦蒂诺 Quentin Tarantino,306291,8.6
174,爆裂鼓手,2014,美国,剧情 音乐, 达米安·沙泽勒 Damien Chazelle,282223,8.6
175,未麻的部屋,1997,日本,动画 奇幻 惊悚, 今敏 Satoshi Kon,121794,8.9
176,你的名字。,2016,日本,剧情 爱情 动画, 新海诚 Makoto Shinkai,607286,8.4
177,无敌破坏王,2012,美国,喜剧 动画 奇幻 冒险, 瑞奇·莫尔 Rich Moore,246709,8.7
178,罗生门,1950,日本,犯罪 剧情 悬疑, 黑泽明 Akira Kurosawa,152189,8.7
179,浪潮,2008,德国,剧情 惊悚, 丹尼斯·甘塞尔 Dennis Gansel,154811,8.7
180,阿飞正传,1990,香港,犯罪 剧情 爱情, 王家卫 Kar Wai Wong,251919,8.5
181,香水,2006,德国 法国 西班牙 美国,剧情 犯罪 奇幻, 汤姆·提克威 Tom Tykwer,321406,8.4
182,朗读者,2008,美国 德国,剧情 爱情, 史蒂芬·戴德利 Stephen Daldry,309036,8.5
183,房间,2015,爱尔兰 加拿大 英国 美国,剧情 家庭, 伦尼·阿伯拉罕森 Lenny Abrahamson,192922,8.8
184,模仿游戏,2014,英国 美国,剧情 传记 战争 同性, 莫腾·泰杜姆 Morten Tyldum,306814,8.6
185,恐怖游轮,2009,英国 澳大利亚,剧情 悬疑 惊悚, 克里斯托弗·史密斯 Christopher Smith,391108,8.4
186,一个叫欧维的男人决定去死,2015,瑞典,剧情, 汉内斯·赫尔姆 Hannes Holm,157589,8.8
187,可可西里,2004,中国大陆 香港,剧情 犯罪, 陆川 Chuan Lu,152059,8.7
188,忠犬八公物语,1987,日本,剧情, Seijirô Kôyama,77628,9.1
189,魔女宅急便,1989,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki,235856,8.5
190,战争之王,2005,美国 法国,剧情 犯罪, 安德鲁·尼科尔 Andrew Niccol,199677,8.6
191,一次别离,2011,伊朗 法国,剧情 家庭, 阿斯哈·法哈蒂  Asghar Farhadi,152416,8.7
